playerID,awardID,yearID:int,lgID,tie,noteslogical 
"larusto01","BBWAA Manager of the year",1983,"AL","0",0
"lasorto01","BBWAA Manager of the year",1983,"NL","0",0
"andersp01","BBWAA Manager of the year",1984,"AL","0",0
"freyji99","BBWAA Manager of the year",1984,"NL","0",0
"coxbo01","BBWAA Manager of the year",1985,"AL","0",0
"herzowh01","BBWAA Manager of the year",1985,"NL","0",0
"mcnamjo99","BBWAA Manager of the year",1986,"AL","0",0
"lanieha01","BBWAA Manager of the year",1986,"NL","0",0
"andersp01","BBWAA Manager of the year",1987,"AL","0",0
"rodgebu01","BBWAA Manager of the year",1987,"NL","0",0
"larusto01","BBWAA Manager of the year",1988,"AL","0",0
"lasorto01","BBWAA Manager of the year",1988,"NL","0",0
"robinfr02","BBWAA Manager of the year",1989,"AL","0",0
"zimmedo01","BBWAA Manager of the year",1989,"NL","0",0
"torboje01","BBWAA Manager of the year",1990,"AL","0",0
"leylaji99","BBWAA Manager of the year",1990,"NL","0",0
"kellyto01","BBWAA Manager of the year",1991,"AL","0",0
"coxbo01","BBWAA Manager of the year",1991,"NL","0",0
"larusto01","BBWAA Manager of the year",1992,"AL","0",0
"leylaji99","BBWAA Manager of the year",1992,"NL","0",0
"lamonge01","BBWAA Manager of the year",1993,"AL","0",0
"bakerdu01","BBWAA Manager of the year",1993,"NL","0",0
"showabu99","BBWAA Manager of the year",1994,"AL","0",0
"aloufe01","BBWAA Manager of the year",1994,"NL","0",0
"pinielo01","BBWAA Manager of the year",1995,"AL","0",0
"baylodo01","BBWAA Manager of the year",1995,"NL","0",0
"oatesjo01","BBWAA Manager of the year",1996,"AL","Y",0
"torrejo01","BBWAA Manager of the year",1996,"AL","Y",0
"bochybr01","BBWAA Manager of the year",1996,"NL","0",0
"johnsda02","BBWAA Manager of the year",1997,"AL","0",0
"bakerdu01","BBWAA Manager of the year",1997,"NL","0",0
"torrejo01","BBWAA Manager of the year",1998,"AL","0",0
"dierkla01","BBWAA Manager of the year",1998,"NL","0",0
"williji03","BBWAA Manager of the year",1999,"AL","0",0
"mckeoja99","BBWAA Manager of the year",1999,"NL","0",0
"manueje01","BBWAA Manager of the year",2000,"AL","0",0
"bakerdu01","BBWAA Manager of the year",2000,"NL","0",0
"pinielo01","BBWAA Manager of the year",2001,"AL","0",0
"bowala01","BBWAA Manager of the year",2001,"NL","0",0
"sciosmi01","BBWAA Manager of the year",2002,"AL","0",0
"larusto01","BBWAA Manager of the year",2002,"NL","0",0
"penato01","BBWAA Manager of the year",2003,"AL","0",0
"mckeoja99","BBWAA Manager of the year",2003,"NL","0",0
"showabu99","BBWAA Manager of the year",2004,"AL","0",0
"coxbo01","BBWAA Manager of the year",2004,"NL","0",0
"guilloz01","BBWAA Manager of the year",2005,"AL","0",0
"coxbo01","BBWAA Manager of the year",2005,"NL","0",0
"leylaji99","BBWAA Manager of the year",2006,"AL","0",0
"girarjo01","BBWAA Manager of the year",2006,"NL","0",0
"wedgeer01","BBWAA Manager of the year",2007,"AL","0",0
"melvibo01","BBWAA Manager of the year",2007,"NL","0",0
"maddojo99","BBWAA Manager of the year",2008,"AL","0",0
"pinielo01","BBWAA Manager of the year",2008,"NL","0",0
"sciosmi01","BBWAA Manager of the year",2009,"AL","0",0
"tracyji01","BBWAA Manager of the year",2009,"NL","0",0
"gardero01","BBWAA Manager of the year",2010,"AL","0",0
"blackbu02","BBWAA Manager of the year",2010,"NL","0",0
"maddojo99","BBWAA Manager of the year",2011,"AL","0",0
"gibsoki01","BBWAA Manager of the year",2011,"NL","0",0
"melvibo01","BBWAA Manager of the year",2012,"AL","0",0
"johnsda02","BBWAA Manager of the year",2012,"NL","0",0
"francte01","BBWAA Manager of the year",2013,"AL","0",0
"hurdlcl01","BBWAA Manager of the year",2013,"NL","0",0
"mccarjo99","TSN Manager of the Year",1936,"ML","0",0
"mckecbi01","TSN Manager of the Year",1937,"ML","0",0
"mccarjo99","TSN Manager of the Year",1938,"ML","0",0
"durocle01","TSN Manager of the Year",1939,"ML","0",0
"mckecbi01","TSN Manager of the Year",1940,"ML","0",0
"southbi01","TSN Manager of the Year",1941,"ML","0",0
"southbi01","TSN Manager of the Year",1942,"ML","0",0
"mccarjo99","TSN Manager of the Year",1943,"ML","0",0
"sewellu01","TSN Manager of the Year",1944,"ML","0",0
"bluegos01","TSN Manager of the Year",1945,"ML","0",0
"dyered01","TSN Manager of the Year",1946,"ML","0",0
"harribu01","TSN Manager of the Year",1947,"ML","0",0
"meyerbi01","TSN Manager of the Year",1948,"ML","0",0
"stengca01","TSN Manager of the Year",1949,"ML","0",0
"rolfere01","TSN Manager of the Year",1950,"ML","0",0
"durocle01","TSN Manager of the Year",1951,"ML","0",0
"stanked01","TSN Manager of the Year",1952,"ML","0",0
"stengca01","TSN Manager of the Year",1953,"ML","0",0
"durocle01","TSN Manager of the Year",1954,"ML","0",0
"alstowa01","TSN Manager of the Year",1955,"ML","0",0
"tebbebi01","TSN Manager of the Year",1956,"ML","0",0
"hutchfr01","TSN Manager of the Year",1957,"ML","0",0
"stengca01","TSN Manager of the Year",1958,"ML","0",0
"alstowa01","TSN Manager of the Year",1959,"ML","0",0
"murtada01","TSN Manager of the Year",1960,"ML","0",0
"houkra01","TSN Manager of the Year",1961,"ML","0",0
"rignebi01","TSN Manager of the Year",1962,"ML","0",0
"alstowa01","TSN Manager of the Year",1963,"ML","0",0
"keanejo99","TSN Manager of the Year",1964,"ML","0",0
"melesa01","TSN Manager of the Year",1965,"ML","0",0
"bauerha01","TSN Manager of the Year",1966,"ML","0",0
"willidi02","TSN Manager of the Year",1967,"ML","0",0
"smithma01","TSN Manager of the Year",1968,"ML","0",0
"hodgegi01","TSN Manager of the Year",1969,"ML","0",0
"murtada01","TSN Manager of the Year",1970,"ML","0",0
"foxch01","TSN Manager of the Year",1971,"ML","0",0
"tannech01","TSN Manager of the Year",1972,"ML","0",0
"mauchge01","TSN Manager of the Year",1973,"ML","0",0
"virdobi01","TSN Manager of the Year",1974,"ML","0",0
"johnsda01","TSN Manager of the Year",1975,"ML","0",0
"ozarkda99","TSN Manager of the Year",1976,"ML","0",0
"weaveea99","TSN Manager of the Year",1977,"ML","0",0
"bambege01","TSN Manager of the Year",1978,"ML","0",0
"weaveea99","TSN Manager of the Year",1979,"ML","0",0
"virdobi01","TSN Manager of the Year",1980,"ML","0",0
"martibi02","TSN Manager of the Year",1981,"ML","0",0
"herzowh01","TSN Manager of the Year",1982,"ML","0",0
"larusto01","TSN Manager of the Year",1983,"ML","0",0
"freyji99","TSN Manager of the Year",1984,"ML","0",0
"coxbo01","TSN Manager of the Year",1985,"ML","0",0
"lanieha01","TSN Manager of the Year",1986,"NL","0",0
"mcnamjo99","TSN Manager of the Year",1986,"AL","0",0
"andersp01","TSN Manager of the Year",1987,"AL","0",0
"rodgebu01","TSN Manager of the Year",1987,"NL","0",0
"larusto01","TSN Manager of the Year",1988,"AL","0",0
"leylaji99","TSN Manager of the Year",1988,"NL","0",0
"robinfr02","TSN Manager of the Year",1989,"AL","0",0
"zimmedo01","TSN Manager of the Year",1989,"NL","0",0
"leylaji99","TSN Manager of the Year",1990,"NL","0",0
"torboje01","TSN Manager of the Year",1990,"AL","0",0
"coxbo01","TSN Manager of the Year",1991,"NL","0",0
"kellyto01","TSN Manager of the Year",1991,"AL","0",0
"larusto01","TSN Manager of the Year",1992,"AL","0",0
"leylaji99","TSN Manager of the Year",1992,"NL","0",0
"coxbo01","TSN Manager of the Year",1993,"NL","0",0
"oatesjo01","TSN Manager of the Year",1993,"AL","0",0
"aloufe01","TSN Manager of the Year",1994,"NL","0",0
"showabu99","TSN Manager of the Year",1994,"AL","0",0
"baylodo01","TSN Manager of the Year",1995,"NL","0",0
"hargrmi01","TSN Manager of the Year",1995,"AL","0",0
"bochybr01","TSN Manager of the Year",1996,"NL","0",0
"oatesjo01","TSN Manager of the Year",1996,"AL","0",0
"bakerdu01","TSN Manager of the Year",1997,"NL","0",0
"johnsda02","TSN Manager of the Year",1997,"AL","0",0
"bochybr01","TSN Manager of the Year",1998,"NL","0",0
"torrejo01","TSN Manager of the Year",1998,"AL","0",0
"coxbo01","TSN Manager of the Year",1999,"NL","0",0
"williji03","TSN Manager of the Year",1999,"AL","0",0
"bakerdu01","TSN Manager of the Year",2000,"NL","0",0
"manueje01","TSN Manager of the Year",2000,"AL","0",0
"bowala01","TSN Manager of the Year",2001,"NL","0",0
"pinielo01","TSN Manager of the Year",2001,"AL","0",0
"coxbo01","TSN Manager of the Year",2002,"NL","0",0
"sciosmi01","TSN Manager of the Year",2002,"AL","0",0
"coxbo01","TSN Manager of the Year",2003,"NL","0",0
"penato01","TSN Manager of the Year",2003,"AL","0",0
"coxbo01","TSN Manager of the Year",2004,"NL","0",0
"gardero01","TSN Manager of the Year",2004,"AL","0",0
"coxbo01","TSN Manager of the Year",2005,"NL","0",0
"guilloz01","TSN Manager of the Year",2005,"AL","0",0
"girarjo01","TSN Manager of the Year",2006,"NL","0",0
"leylaji99","TSN Manager of the Year",2006,"AL","0",0
"melvibo01","TSN Manager of the Year",2007,"NL","0",0
"wedgeer01","TSN Manager of the Year",2007,"AL","0",0
"maddojo99","TSN Manager of the Year",2008,"AL","0",0
"gonzafr99","TSN Manager of the Year",2008,"NL","0",0
"sciosmi01","TSN Manager of the Year",2009,"AL","0",0
"tracyji01","TSN Manager of the Year",2009,"NL","0",0
"gardero01","TSN Manager of the Year",2010,"AL","0",0
"blackbu02","TSN Manager of the Year",2010,"NL","0",0
"maddojo99","TSN Manager of the Year",2011,"AL","0",0
"gibsoki01","TSN Manager of the Year",2011,"NL","0",0
"showabu99","TSN Manager of the Year",2012,"AL","0",0
"johnsda02","TSN Manager of the Year",2012,"NL","0",0
"farrejo03","TSN Manager of the Year",2013,"AL","0",0
"hurdlcl01","TSN Manager of the Year",2013,"NL","0",0
